,级别,课时,日语单词,词性,中文释意,记忆标记
198,初级,第4课,あります ,动1, 有，在（非意志者）,
199,初级,第4课,います ,动2, 有，在（具意志者）,
246,初级,第5课,やすみます（休みます） ,动1, 休息,
247,初级,第5课,はたらきます（働きます） ,动1, 工作,
248,初级,第5课,はじまります（始まります） ,动1, 开始,
249,初级,第5课,おわります（終わります） ,动1, 结束,
250,初级,第5课,おきます（起きます） ,动2, 起床,
251,初级,第5课,ねます（寝ます） ,动2, 睡觉,
252,初级,第5课,べんきょうします（勉強～） ,动3, 学习,
280,初级,第6课,いきます（行きます） ,动1, 去,
281,初级,第6课,かえります（帰ります） ,动1, 回来，回去,
282,初级,第6课,きます（来ます） ,动3, 来,
331,初级,第7课,のみます（飲みます） ,动1, 喝,
332,初级,第7课,かいます（買います） ,动1, 买,
333,初级,第7课,とります（撮ります） ,动1, 拍照，拍摄,
334,初级,第7课,かきます（書きます） ,动1, 写,
335,初级,第7课,よみます（読みます） ,动1, 读,
336,初级,第7课,ききます（聞きます） ,动1, 听,
337,初级,第7课,たべます（食べます） ,动2, 吃,
338,初级,第7课,みます（見ます） ,动2, 看,
339,初级,第7课,します ,动3, 干，做,
340,初级,第7课,そうじします（掃除～） ,动3, 打扫，扫除,
384,初级,第8课,もらいます ,动1, 拿到，得到,
385,初级,第8课,あいます（会います） ,动1, 见,
386,初级,第8课,おくります（送ります） ,动1, 寄,
387,初级,第8课,つくります（作ります） ,动1, 做，制造,
388,初级,第8课,ふとります（太ります） ,动1, 胖,
389,初级,第8课,だします（出します） ,动1, 寄（信）,
390,初级,第8课,とどきます（届きます） ,动1, 收到，送到，寄到,
391,初级,第8课,かきます ,动1, 画,
392,初级,第8课,かします（貸します） ,动1, 借出，借给,
393,初级,第8课,ならいます（習います） ,动1, 学习,
394,初级,第8课,あげます ,动2, 给,
395,初级,第8课,かけます ,动2, 打（电话）,
396,初级,第8课,かります（借ります） ,动2, （向别人）借,
397,初级,第8课,おしえます（教えます） ,动2, 教,
565,初级,第11课,わかります（分かります） ,动1, 懂，明白,
566,初级,第11课,まよいます（迷います） ,动1, 犹豫，难以决定,
567,初级,第11课,できます ,动2, 会；能；完成,
568,初级,第11课,しめます（閉めます） ,动2, 关闭，关门,
569,初级,第11课,つかれます（疲れます） ,动2, 疲倦，疲惫,
570,初级,第11课,さんぽします（散歩～） ,动3, 散步,
608,初级,第12课,ふります（降ります） ,动1, 下（雨，雪），降（雨，雪）,
639,初级,第13课,かかります ,动1, 花费（时间，金钱）,
640,初级,第13课,さきます（咲きます） ,动1, 花开,
641,初级,第13课,およぎます（泳ぎます） ,动1, 游泳,
642,初级,第13课,あそびます（遊びます） ,动1, 玩，玩耍,
643,初级,第13课,すいます（吸います） ,动1, 吸（烟）,
644,初级,第13课,きります（切ります） ,动1, 剪，切，割,
669,初级,第14课,とおります（通ります） ,动1, 通过，经过,
670,初级,第14课,いそぎます（急ぎます） ,动1, 急，急忙,
671,初级,第14课,とびます（飛びます） ,动1, 飞，飞行,
672,初级,第14课,しにます（死にます） ,动1, 死，死亡,
673,初级,第14课,まちます（待ちます） ,动1, 等待，等候,
674,初级,第14课,うります（売ります） ,动1, 卖，销售,
675,初级,第14课,はなします（話します） ,动1, 说话，说,
676,初级,第14课,わたります（渡ります） ,动1, 过（桥，河），穿过（马路）,
677,初级,第14课,おろします（下ろします） ,动1, 取，卸货,
678,初级,第14课,えらびます（選びます） ,动1, 挑选，选择,
679,初级,第14课,けします（消します） ,动1, 关（灯），消除，去除,
680,初级,第14课,あるきます（歩きます） ,动1, 步行，行走,
681,初级,第14课,まがります（曲がります） ,动1, 拐弯，曲折,
682,初级,第14课,あらいます（洗います） ,动1, 洗，洗涤,
683,初级,第14课,でます（出ます） ,动2, 离开,
684,初级,第14课,でかけます（出かけます） ,动2, 外出，出门,
685,初级,第14课,あけます（開けます） ,动2, 开，打开，开启,
686,初级,第14课,すぎます（過ぎます） ,动2, 过,
687,初级,第14课,みせます（見せます） ,动2, 给～看；出示,
688,初级,第14课,つけます ,动2, 开（灯）,
689,初级,第14课,おります（降ります） ,动2, 下（车，山）,
690,初级,第14课,かいものします（買い物～） ,动3, 买东西,
691,初级,第14课,そつぎょうします（卒業～） ,动3, 毕业,
692,初级,第14课,しょくじします（食事～） ,动3, 吃饭，用餐,
693,初级,第14课,せいりします（整理～） ,动3, 整理,
694,初级,第14课,コピーします ,动3, 复印,
722,初级,第15课,のります（乗ります） ,动1, 乘坐，乘,
723,初级,第15课,つかいます（使います） ,动1, 用，使用,
724,初级,第15课,すわります（座ります） ,动1, 坐，落座,
725,初级,第15课,はいります（入ります） ,动1, 进入，加入,
726,初级,第15课,もうします（申します） ,动1, 是，说，讲，告诉,
727,初级,第15课,とります ,动1, 取，取得,
728,初级,第15课,うたいます（歌います） ,动1, 唱，歌唱,
729,初级,第15课,つたえます（伝えます） ,动2, 说，传达，转告,
730,初级,第15课,とめます（止めます） ,动2, 停，制止,
786,初级,第16课,もちます（持ちます） ,动1, 有，拥有，持有,
787,初级,第16课,すみます（住みます） ,动1, 住，居住,
788,初级,第16课,しります（知ります） ,动1, 认识，知道，了解,
789,初级,第16课,なおします（直します） ,动1, 改，修改，改正,
790,初级,第16课,かたづけます（片づけます） ,动2, 收拾，整理,
791,初级,第16课,れんしゅうします（練習～） ,动3, 练习,
792,初级,第16课,けっこんします（結婚～） ,动3, 结婚,
793,初级,第16课,あんしんします（安心～） ,动3, 安心，放心,
833,初级,第17课,はじめます（始めます） ,动2, 开始,
834,初级,第17课,れんらくしあす（連絡～） ,动3, 联系,
875,初级,第18课,なります ,动1, 变，当，变成，成为,
876,初级,第18课,あきます（開きます） ,动1, 开,
877,初级,第18课,にあいます（似合います） ,动1, 适合，相称,
899,初级,第19课,さわります（触ります） ,动1, 碰，触,
900,初级,第19课,ぬぎます（脱ぎます） ,动1, 脱,
901,初级,第19课,ころびます（転びます） ,动1, 摔，摔倒，跌倒,
902,初级,第19课,かわきます（渇きます） ,动1, 渴,
903,初级,第19课,なおります（治ります） ,动1, 痊愈，医好,
904,初级,第19课,すべります（滑ります） ,动1, 滑，滑行,
905,初级,第19课,よびます（呼びます） ,动1, 呼喊,
906,初级,第19课,かえします（返します） ,动1, 归还,
907,初级,第19课,てつだいます（手伝います） ,动1, 帮忙,
908,初级,第19课,はこびます（運びます） ,动1, 搬运,
909,初级,第19课,なくします ,动1, 丢，丢失,
910,初级,第19课,おとします（落とします） ,动1, 掉，使落下,
911,初级,第19课,おきます（置きます） ,动1, 放置,
912,初级,第19课,はらいます（払います） ,动1, 支付,
913,初级,第19课,たちます（立ちます） ,动1, 站，立,
914,初级,第19课,わすれます（忘れます） ,动2, 忘记,
915,初级,第19课,あわてます（慌てます） ,动2, 慌张，惊慌，着急,
916,初级,第19课,すてます（捨てます） ,动2, 扔，扔掉,
917,初级,第19课,ざんぎょうします（残業～） ,动3, 加班,
918,初级,第19课,しんぱいします（心配～） ,动3, 担心,
958,初级,第20课,ひきます（弾きます） ,动1, 弹,
959,初级,第20课,すきます ,动1, （肚子）饿，空,
960,初级,第20课,のぼります（登ります） ,动1, 登，上,
961,初级,第20课,あつめます（集めます） ,动2, 收集,
962,初级,第20课,あびます（浴びます） ,动2, 淋；浇,
963,初级,第20课,ごちそうします ,动3, 请客，摆盛宴,
964,初级,第20课,きこくします（帰国～） ,动3, 回国,
979,初级,第21课,わたします（渡します） ,动1, 交给,
980,初级,第21课,おくれます（遅れます） ,动2, 迟到,
981,初级,第21课,かんがえます（考えます） ,动2, 考虑,
982,初级,第21课,しらべます（調べます） ,动2, 调查,
983,初级,第21课,きます（着ます） ,动2, 穿,
984,初级,第21课,よやくします（予約～） ,动3, 预约,
985,初级,第21课,かんしゃします（感謝～） ,动3, 感谢,
986,初级,第21课,うんどうします（運動～） ,动3, 运动,
987,初级,第21课,せんたくします（洗濯～） ,动3, 洗涤，洗,
988,初级,第21课,ほうこくします（報告～） ,动3, 报告,
1008,初级,第22课,やります ,动1, 做,
1031,初级,第23课,ちがいます（違います） ,动1, 不同，不一样,
1032,初级,第23课,こみます（込みます） ,动1, 拥挤，混杂,
1033,初级,第23课,きまります（決まります） ,动1, 定，决定,
1034,初级,第23课,しらせます（知らせます） ,动2, 告诉,
1035,初级,第23课,たしかめます（確かめます） ,动2, 查（看），弄清,
1049,初级,第24课,おもいます（思います） ,动1, 想，思考,
1050,初级,第24课,いいます（言います） ,动1, 说，讲,
1051,初级,第24课,さがします（探します） ,动1, 找，寻找，寻求,
1052,初级,第24课,わらいます（笑います） ,动1, 笑,
1053,初级,第24课,やめます ,动2, 戒，停止，放弃,
1054,初级,第24课,きめます（決めます） ,动2, 决定,
1055,初级,第24课,ねぼうします（寝坊～） ,动3, 睡懒觉,
1056,初级,第24课,がいしゅつします（外出～） ,动3, 外出，出去,
1057,初级,第24课,けんきゅうします（研究～） ,动3, 研究,
1090,初级,第25课,とまります(泊まります),动1,住，过夜，住宿,
1091,初级,第25课,むすびます(結びます) ,动1,连接，系,
1092,初级,第25课,とります（取ります）,动1,印，记下,
1093,初级,第25课,うまれます（生まれます）,动2,出生，诞生,
1094,初级,第25课,とうさんします（倒産～）,动3,倒闭，破产,
1095,初级,第25课,じゅうたいします（渋滞～）,动3,堵车，停滞,
1096,初级,第25课,チエックします,动3,确认,
1130,初级,第26课,ふせぎます（防ぎます）,动1,防御，防备，防守,
1131,初级,第26课,まわります（回ります）,动1,走访；转；绕弯,
1132,初级,第26课,はしります（走ります）,动1,跑，奔跑,
